,Won,Lost,Tied,Points,Division Relays,All-Star Relays,Total Points
Chesterbrook,5,0,0,1204.0,232.0,604.0,2040.0
Vienna Aquatic,4,1,0,1027.0,148.0,370.0,1545.0
Overlee,3,2,0,1065.5,160.0,386.0,1611.5
Tuckahoe,2,3,0,988.5,178.0,478.0,1644.5
Fairfax Station,1,4,0,817.0,114.0,249.0,1180.0
Hunter Mill,0,5,0,923.0,128.0,310.0,1361.0
Sully Station,5,0,0,1114.0,194.0,378.0,1686.0
Vienna Woods,4,1,0,1068.5,124.0,188.0,1380.5
Little Rocky Run,3,2,0,1025.0,186.0,290.0,1501.0
Oakton,1,4,0,970.0,186.0,364.0,1520.0
Hamlet,1,4,0,965.0,142.0,242.0,1349.0
Virginia Run,1,4,0,887.5,126.0,157.0,1170.5
Wakefield Chapel,5,0,0,1093.0,162.0,208.0,1463.0
Orange Hunt,4,1,0,1086.0,170.0,186.0,1442.0
Crosspointe,2,3,0,1028.0,164.0,258.0,1450.0
South Run,2,3,0,1021.0,182.0,198.0,1401.0
Highlands Swim,2,3,0,1004.0,158.0,210.0,1372.0
Poplar Heights,0,5,0,797.0,116.0,124.0,1037.0
Donaldson Run,5,0,0,1148.0,218.0,328.0,1694.0
Lee Graham,3,2,0,1042.0,160.0,108.0,1310.0
McLean,3,2,0,853.0,198.0,248.0,1299.0
Kent Gardens,2,3,0,973.0,148.0,110.0,1231.0
Cardinal Hill,1,4,0,915.0,126.0,18.0,1059.0
Greenbriar,1,4,0,865.0,106.0,70.0,1041.0
Sideburn Run,4,1,0,1079.0,202.0,248.0,1529.0
Sleepy Hollow B & R,4,1,0,1107.0,204.0,113.0,1424.0
Pinecrest,3,2,0,1090.0,160.0,76.0,1326.0
Country Club Hills,2,3,0,930.0,164.0,140.0,1234.0
Ravensworth Farm,2,3,0,1036.5,152.0,42.0,1230.5
Sully Station II,0,5,0,775.5,74.0,0.0,849.5
Fox Mill Woods,5,0,0,1079.0,136.0,0.0,1215.0
Waynewood,4,1,0,1129.0,184.0,54.0,1367.0
High Point Pool,3,2,0,1022.0,174.0,82.0,1278.0
Hunt Valley,1,4,0,992.5,196.0,52.0,1240.5
Forest Hollow,1,4,0,934.5,136.0,78.0,1148.5
Dunn Loring,1,4,0,873.0,132.0,76.0,1081.0
Poplar Tree,5,0,0,1118.0,192.0,90.0,1400.0
Sleepy Hollow Rec,3,2,0,1096.0,194.0,88.0,1378.0
Daventry,2,3,0,1026.5,158.0,68.0,1252.5
Riverside Gardens,2,3,0,978.5,154.0,0.0,1132.5
Herndon,2,3,0,965.0,124.0,16.0,1105.0
Highland Park,1,4,0,846.0,124.0,0.0,970.0
Fair Oaks,4,0,0,905.0,160.0,32.0,1097.0
Mount Vernon Park,3,1,0,836.0,138.0,26.0,1000.0
Hayfield Farm,1,3,0,763.0,170.0,67.0,1000.0
Fairfax,1,3,0,756.0,118.0,26.0,900.0
Mantua,1,3,0,742.0,110.0,0.0,852.0
Commonwealth,4,0,0,907.0,150.0,58.0,1115.0
Mansion House,3,1,0,880.0,138.0,26.0,1044.0
Dominion Hills,2,2,0,776.0,132.0,8.0,916.0
Villa Aquatic,1,3,0,771.0,176.0,104.0,1051.0
Brookfield,0,4,0,686.0,88.0,4.0,778.0
Langley,4,0,0,913.5,142.0,14.0,1069.5
Dowden Terrace,3,1,0,876.5,136.0,50.0,1062.5
Rutherford,2,2,0,744.0,156.0,36.0,936.0
Cottontail,1,3,0,726.0,104.0,92.0,922.0
Arlington Forest,0,4,0,744.0,136.0,28.0,908.0
Canterbury Woods,3,0,1,865.0,130.0,56.0,1051.0
Walden Glen,2,2,0,638.0,174.0,2.0,814.0
Rolling Hills,2,2,0,649.0,132.0,0.0,781.0
Annandale,2,2,0,619.0,92.0,0.0,711.0
Rolling Forest,0,3,1,785.0,156.0,0.0,941.0
Lakevale Estates,4,1,0,991.5,207.0,78.0,1276.5
Hiddenbrook,4,1,0,1022.0,192.0,0.0,1214.0
Fox Mill Estates,3,2,0,922.0,164.0,2.0,1088.0
Shouse Village,2,3,0,962.0,131.0,0.0,1093.0
Stratford,2,3,0,774.5,118.0,0.0,892.5
Springfield,0,5,0,709.0,112.0,0.0,821.0
Fairfax Club Estates,5,0,0,1241.0,206.0,58.0,1505.0
Lake Braddock,4,1,0,1139.0,168.0,0.0,1307.0
Mosby Woods,2,3,0,858.0,156.0,90.0,1104.0
Lakeview,2,3,0,943.0,154.0,0.0,1097.0
Kings Ridge,2,3,0,820.0,106.0,16.0,942.0
Royal Pool,0,5,0,485.0,104.0,0.0,589.0
Great Falls,4,1,0,1109.5,128.0,0.0,1237.5
Truro,4,1,0,892.0,186.0,34.0,1112.0
Burke Station,3,1,1,950.0,170.0,0.0,1120.0
Camelot,2,3,0,998.0,166.0,0.0,1164.0
Parliament,1,3,1,738.0,184.0,0.0,922.0
Fox Hunt,0,5,0,726.5,112.0,0.0,838.5
Hollin Meadows,4,0,1,1047.5,174.0,58.0,1279.5
Old Keene Mill,4,0,1,1106.0,122.0,0.0,1228.0
Woodley,3,2,0,847.0,184.0,0.0,1031.0
Newington Forest,2,3,0,961.5,120.0,0.0,1081.5
Village West,1,4,0,773.5,168.0,40.0,981.5
Springboard,0,5,0,674.5,136.0,0.0,810.5
Holmes Run Acres,5,0,0,1138.0,188.0,28.0,1354.0
Little Hunting Park,3,2,0,1027.0,192.0,0.0,1219.0
North Springfield,3,2,0,1034.0,152.0,0.0,1186.0
Pleasant Valley,3,2,0,857.0,164.0,0.0,1021.0
Ilda Community,1,4,0,668.0,108.0,0.0,776.0
Parklawn,0,5,0,704.0,142.0,0.0,846.0
Brandywine,5,0,0,1157.5,182.0,0.0,1339.5
Lincolnia Park,4,1,0,1079.5,172.0,98.0,1349.5
Long Branch,3,2,0,981.0,144.0,0.0,1125.0
Rolling Valley,2,3,0,675.0,104.0,0.0,779.0
Somerset-Olde Creek,1,4,0,802.0,138.0,0.0,940.0
Virginia Hills,0,5,0,667.0,120.0,0.0,787.0
Broyhill Crest,3,1,0,867.0,94.0,0.0,961.0
Hollin Hills,3,1,0,722.0,100.0,0.0,822.0
Edsall Park,3,1,0,681.0,82.0,0.0,763.0
Bren Mar,1,3,0,453.0,18.0,0.0,471.0
Newington Station,0,0,0,0.0,0.0,0.0,0.0
Pinewood Lake,0,4,0,433.0,74.0,0.0,507.0
